Fecha,Producto,Categoría,Precio,UnidadesVendidas,Descuento,Mes,Día_Semana
21/01/2023,Leche Pil UHT 1L,Lácteos,7.25,115,0,1,6
04/01/2023,Leche Pil Entera 1L,Lácteos,8.58,127,5,1,3
01/01/2023,Mantequilla Pil 200g,Derivado,12.01,19,0,1,7
24/01/2023,Leche Pil UHT 1L,Lácteos,7.4,113,20,1,2
09/01/2023,Leche Pil Light 1L,Lácteos,8.84,78,0,1,1
08/01/2023,Leche Pil Entera 1L,Lácteos,8.43,90,10,1,7
08/01/2023,Leche Pil UHT 1L,Lácteos,7.57,95,0,1,7
05/01/2023,Yogurt Bebible Pil 200ml,Derivado,4.31,91,0,1,4
24/01/2023,Yogurt Pil Natural 1L,Derivado,10.08,40,0,1,2
04/01/2023,Leche Pil Entera 1L,Lácteos,8.92,99,0,1,3
22/01/2023,Leche Pil Light 1L,Lácteos,9.25,86,0,1,7
24/01/2023,Leche Pil 500ml (mini),Lácteos,5.1,49,0,1,2
29/01/2023,Queso Pil Fresco 300g,Derivado,13.34,28,0,1,7
18/01/2023,Bebida Láctea Pil Chocolate 1L,Bebidas,11.72,48,0,1,3
03/01/2023,Leche Condensada Pil 400g,Derivado,10.95,31,0,1,2
19/01/2023,Yogurt Bebible Pil 200ml,Derivado,4.37,70,0,1,4
14/01/2023,Yogurt Bebible Pil 200ml,Derivado,4.72,92,10,1,6
02/01/2023,Crema Pil 200ml,Derivado,8.2,23,5,1,1
01/01/2023,Leche Pil Deslactosada 1L,Lácteos,9.43,50,0,1,7
03/01/2023,Leche Pil Deslactosada 1L,Lácteos,9.4,54,0,1,2
07/01/2023,Leche Condensada Pil 400g,Derivado,11.08,25,15,1,6
08/01/2023,Leche Pil Light 1L,Lácteos,8.98,82,20,1,7
17/01/2023,Queso Pil Fresco 300g,Derivado,14.14,36,0,1,2
20/01/2023,Bebida Láctea Pil Chocolate 1L,Bebidas,12.18,44,0,1,5
01/01/2023,Leche Pil En Polvo 500g,Lácteos,25.91,6,5,1,7
18/01/2023,Mantequilla Pil 200g,Derivado,11.86,24,0,1,3
